{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
25
25
25
25
3
0
last event:  <Event(0-NoEvent {})>
         3366687 function calls (3361281 primitive calls) in 5.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 version.py:191(Version)
     1219    0.002    0.000    0.006    0.000 scanner.py:132(get_token)
      167    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     2099    0.004    0.000    0.006    0.000 reader.py:114(get_mark)
    26851    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.006    0.006 constructor.py:2(<module>)
       26    0.000    0.000    0.006    0.000 util.py:37(animLoad)
        2    0.000    0.000    0.006    0.003 scanner.py:631(fetch_literal)
        2    0.000    0.000    0.006    0.003 scanner.py:637(fetch_block_scalar)
        1    0.000    0.000    0.006    0.006 traceback.py:1(<module>)
        2    0.001    0.001    0.006    0.003 scanner.py:973(scan_block_scalar)
    10126    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
       13    0.000    0.000    0.006    0.000 parser.py:376(parse_block_sequence_first_entry)
      458    0.002    0.000    0.006    0.000 composer.py:88(compose_scalar_node)
       56    0.001    0.000    0.005    0.000 constructor.py:118(construct_mapping)
       13    0.000    0.000    0.005    0.000 pyparsing.py:2604(__init__)
        1    0.000    0.000    0.005    0.005 charset.py:6(<module>)
        1    0.000    0.000    0.005    0.005 linecache.py:6(<module>)
        7    0.000    0.000    0.005    0.001 parser.py:139(parse_implicit_document_start)
      127    0.001    0.000    0.005    0.000 sur.py:169(draw)
     1434    0.002    0.000    0.005    0.000 scanner.py:1418(scan_line_break)
      249    0.002    0.000    0.005    0.000 scanner.py:542(fetch_value)
       26    0.001    0.000    0.005    0.000 pyganim.py:38(__init__)
        5    0.000    0.000    0.005    0.001 enum.py:526(_convert)
      127    0.005    0.000    0.005    0.000 {built-in method pygame.event.get}
      238    0.003    0.000    0.005    0.000 {method 'sort' of 'list' objects}
       24    0.000    0.000    0.005    0.000 pyparsing.py:1227(setParseAction)
        1    0.000    0.000    0.005    0.005 markers.py:4(<module>)
19738/19199    0.004    0.000    0.005    0.000 {built-in method builtins.len}
      623    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       26    0.000    0.000    0.005    0.000 pyparsing.py:1016(_trim_arity)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
       58    0.000    0.000    0.005    0.000 __init__.py:1878(get_metadata_lines)
        1    0.000    0.000    0.004    0.004 plistlib.py:47(<module>)
       25    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
       58    0.001    0.000    0.004    0.000 __init__.py:1861(get_metadata)
        1    0.000    0.000    0.004    0.004 quoprimime.py:27(<module>)
       25    0.000    0.000    0.004    0.000 traceback.py:196(extract_stack)
2852/2848    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
      120    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:813(get_data)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        6    0.000    0.000    0.004    0.001 enum.py:209(__call__)
        6    0.000    0.000    0.004    0.001 enum.py:308(_create_)
       25    0.001    0.000    0.004    0.000 traceback.py:313(extract)
      132    0.004    0.000    0.004    0.000 {built-in method io.open}
      158    0.000    0.000    0.004    0.000 sre_parse.py:90(closegroup)
       54    0.000    0.000    0.004    0.000 parser.py:422(parse_block_mapping_first_key)
     2256    0.003    0.000    0.004    0.000 reader.py:94(prefix)
      100    0.000    0.000    0.004    0.000 scanner.py:1224(scan_flow_scalar_spaces)
        1    0.000    0.000    0.004    0.004 dis.py:1(<module>)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:28(<module>)
        1    0.000    0.000    0.004    0.004 sur.py:347(bgInit)
      874    0.002    0.000    0.004    0.000 constructor.py:53(construct_object)
     1106    0.004    0.000    0.004    0.000 player.py:190(rectphistoimg)
      240    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
     1514    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        3    0.000    0.000    0.004    0.001 gameInventory.py:13(__init__)
        1    0.000    0.000    0.004    0.004 enemy.py:90(create)
       21    0.000    0.000    0.003    0.000 gameObjects.py:11(__init__)
        9    0.001    0.000    0.003    0.000 enum.py:88(__new__)
      134    0.001    0.000    0.003    0.000 pyparsing.py:3202(__init__)
       70    0.000    0.000    0.003    0.000 __init__.py:2541(activate)
       58    0.000    0.000    0.003    0.000 __init__.py:1473(get_metadata_lines)
      464    0.001    0.000    0.003    0.000 __init__.py:2199(yield_lines)
        1    0.000    0.000    0.003    0.003 string.py:15(<module>)
       83    0.000    0.000    0.003    0.000 pyparsing.py:1780(__add__)
      180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:163(__enter__)
       58    0.000    0.000    0.003    0.000 __init__.py:1467(get_metadata)
      127    0.002    0.000    0.003    0.000 camera.py:9(stalkAt)
        1    0.000    0.000    0.003    0.003 pyparsing.py:4849(makeHTMLTags)
        1    0.000    0.000    0.003    0.003 pyparsing.py:4820(_makeTags)
      273    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:406(cached)
      286    0.003    0.000    0.003    0.000 pyganim.py:817(findStartTime)
        1    0.000    0.000    0.003    0.003 enemy.py:17(__init__)
        2    0.000    0.000    0.003    0.002 pyparsing.py:4708(srange)
       21    0.000    0.000    0.003    0.000 util.py:53(__init__)
      286    0.003    0.000    0.003    0.000 pyganim.py:622(_propGetElapsed)
        1    0.000    0.000    0.003    0.003 string.py:61(__init__)
      500    0.001    0.000    0.003    0.000 scanner.py:292(save_possible_simple_key)
     9804    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.003    0.001 pyparsing.py:1571(parseString)
       68    0.000    0.000    0.003    0.000 parser.py:264(parse_block_node)
      258    0.001    0.000    0.003    0.000 version.py:236(__str__)
        1    0.000    0.000    0.003    0.003 _policybase.py:4(<module>)
1967/1958    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       84    0.001    0.000    0.003    0.000 pyparsing.py:3332(__init__)
        1    0.000    0.000    0.003    0.003 constructor.py:157(SafeConstructor)
     3211    0.002    0.000    0.003    0.000 sre_parse.py:242(match)
      550    0.002    0.000    0.003    0.000 resolver.py:143(resolve)
      258    0.002    0.000    0.003    0.000 version.py:343(_cmpkey)
      153    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
     5968    0.003    0.000    0.003    0.000 scanner.py:261(next_possible_simple_key)
      142    0.001    0.000    0.003    0.000 __init__.py:765(add)
       75    0.000    0.000    0.003    0.000 traceback.py:279(line)
      277    0.002    0.000    0.002    0.000 player.py:193(allstep)
      465    0.001    0.000    0.002    0.000 posixpath.py:71(join)
     1577    0.002    0.000    0.002    0.000 map.py:21(__init__)
    106/2    0.001    0.000    0.002    0.001 pyparsing.py:1347(_parseNoCache)
      100    0.001    0.000    0.002    0.000 scanner.py:1248(scan_flow_scalar_breaks)
     10/2    0.000    0.000    0.002    0.001 pyparsing.py:3339(parseImpl)
      120    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
        6    0.001    0.000    0.002    0.000 util.py:77(__init__)
     2099    0.002    0.000    0.002    0.000 error.py:6(__init__)
       58    0.001    0.000    0.002    0.000 __init__.py:1578(_get)
       66    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1043(__import__)
       82    0.000    0.000    0.002    0.000 enemy.py:38(randomMove)
       75    0.000    0.000    0.002    0.000 linecache.py:15(getline)
       49    0.000    0.000    0.002    0.000 pyparsing.py:1907(__or__)
       99    0.000    0.000    0.002    0.000 __init__.py:1464(has_metadata)
        1    0.000    0.000    0.002    0.002 player.py:59(save)
      337    0.002    0.000    0.002    0.000 pyparsing.py:1121(__init__)
      611    0.001    0.000    0.002    0.000 scanner.py:125(peek_token)
       75    0.000    0.000    0.002    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.002    0.002 dumper.py:2(<module>)
      181    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     2723    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      116    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
     16/2    0.000    0.000    0.002    0.001 pyparsing.py:3679(parseImpl)
      361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.002    0.002 linecache.py:82(updatecache)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3800(parseImpl)
       49    0.000    0.000    0.002    0.000 pyparsing.py:3482(__init__)
      267    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       32    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     20/8    0.000    0.000    0.002    0.000 pyparsing.py:3489(parseImpl)
      186    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      153    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
      471    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:195(dump)
      200    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 __init__.py:162(dump_all)
      164    0.000    0.000    0.002    0.000 random.py:214(randint)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      908    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa38b60}
      142    0.000    0.000    0.002    0.000 __init__.py:1375(safe_name)
       51    0.001    0.000    0.002    0.000 scanner.py:1118(scan_block_scalar_breaks)
      162    0.000    0.000    0.002    0.000 genericpath.py:39(isdir)
     7324    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
     1669    0.001    0.000    0.002    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.002    0.002 gameInventory.py:1(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
      285    0.001    0.000    0.002    0.000 player.py:184(getRect)
        7    0.000    0.000    0.002    0.000 pkgdata.py:34(getResource)
      418    0.001    0.000    0.002    0.000 sre_compile.py:386(_simple)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
      167    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
     1434    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 specifiers.py:214(LegacySpecifier)
      361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
       19    0.000    0.000    0.002    0.000 abc.py:132(__new__)
       70    0.000    0.000    0.002    0.000 __init__.py:2622(insert_on)
        1    0.000    0.000    0.002    0.002 representer.py:25(represent)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
     1404    0.001    0.000    0.002    0.000 sre_parse.py:276(tell)
      142    0.000    0.000    0.002    0.000 re.py:175(sub)
      171    0.000    0.000    0.002    0.000 __init__.py:1525(_fn)
      434    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1060    0.001    0.000    0.001    0.000 sre_parse.py:105(__init__)
       42    0.001    0.000    0.001    0.000 scanner.py:896(scan_anchor)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      164    0.001    0.000    0.001    0.000 random.py:170(randrange)
       37    0.000    0.000    0.001    0.000 scanner.py:598(fetch_alias)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
      568    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
